question_id,row_type,model,prompt,cutoff,cutoff_label,n_retained,n_cell_usable,n_excluded_unusable_confidence,retained_fraction,pooled_mae,ci_lo,ci_hi,ci_method,n_boot_replicates_defined,boot_replicates_undefined_fraction,ci_degenerate,share_retained_0_20_bin,unfiltered_share_0_20_bin,row_type_perbin_change,representative_cutoff,representative_cutoff_retained_fraction,bin,n_before,mae_before,ci_lo_before,ci_hi_before,ci_method_before,n_boot_replicates_defined_before,ci_degenerate_before,n_after,mae_after,ci_lo_after,ci_hi_after,ci_method_after,n_boot_replicates_defined_after,ci_degenerate_after
Q5,single_configuration,Gemma-3-27B,Short,0.95,0.95,58.0,1155.0,0.0,0.050216450216450215,2.711206896551724,2.2102464415632226,3.300454916139651,BCa,10000.0,0.0,False,0.9827586206896551,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Gemma-3-27B,Short,1.0,1,12.0,1155.0,0.0,0.01038961038961039,0.5208333333333334,0.17857142857142858,1.1194690904100084,"BCa, degenerate: n_retained=12 < 30",10000.0,0.0,True,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,,retain_all,1155.0,1155.0,0.0,1.0,8.264285714285714,7.4223228882460655,9.166094143743285,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.5,0.5,1155.0,1155.0,0.0,1.0,8.264285714285714,7.4223228882460655,9.166094143743285,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.6,0.6,1154.0,1155.0,0.0,0.9991341991341991,8.204722703639515,7.374027805389008,9.113683998263339,BCa,10000.0,0.0,False,0.8084922010398613,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.7,0.7,1153.0,1155.0,0.0,0.9982683982683983,8.210971379011275,7.3785991244622195,9.119931371221519,BCa,10000.0,0.0,False,0.808326105810928,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.8,0.8,1143.0,1155.0,0.0,0.9896103896103896,8.021216097987752,7.2061829629943155,8.917542194548767,BCa,10000.0,0.0,False,0.8110236220472441,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.85,0.85,793.0,1155.0,0.0,0.6865800865800866,6.542118537200504,5.62587527871018,7.632039219318087,BCa,10000.0,0.0,False,0.8738965952080706,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.9,0.9,774.0,1155.0,0.0,0.6701298701298701,6.373255813953488,5.439411812281001,7.479098430532918,BCa,10000.0,0.0,False,0.8914728682170543,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,0.95,0.95,567.0,1155.0,0.0,0.4909090909090909,6.169135802469136,5.028875295071368,7.595547878807684,BCa,10000.0,0.0,False,0.9029982363315696,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Detailed,1.0,1,387.0,1155.0,0.0,0.33506493506493507,2.8015503875968992,2.0165633752789325,3.99361575545973,BCa,10000.0,0.0,False,0.9560723514211886,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,,retain_all,1155.0,1155.0,0.0,1.0,6.0750216450216445,5.60696160676051,6.580024631181839,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,0.7,0.7,1155.0,1155.0,0.0,1.0,6.0750216450216445,5.60696160676051,6.580024631181839,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,0.8,0.8,1151.0,1155.0,0.0,0.9965367965367965,6.0405299739357075,5.576239382470504,6.54762157431882,BCa,10000.0,0.0,False,0.8097306689834927,0.8077922077922078,,,,,,,,,,,,,,,,,,
