model,bin,mae,n,mae_ci_lo,mae_ci_hi,mean_bias,mean_bias_ci_lo,mean_bias_ci_hi,mean_bias_ci_method,axis,prompt
Gemma-3-27B,60-80,15.710526315789474,38,11.921052631578947,19.842105263157894,-13.078947368421053,-18.0,-8.18421052631579,BCa,combo,Grid-Overlay
Gemma-3-27B,80-100,23.333333333333332,30,19.433333333333334,27.933333333333334,-23.333333333333332,-27.9,-19.5,BCa,combo,Grid-Overlay
Gemma-3-27B,0-20,8.934565916398714,933,8.471808795685925,9.44917651723275,8.763076098606644,8.300606466752876,9.285723585399465,BCa,combo,Point-Hint
Gemma-3-27B,20-40,8.0,108,6.9309745240943075,9.407407407407407,3.425925925925926,1.6218272871960715,5.351851851851852,BCa,combo,Point-Hint
Gemma-3-27B,40-60,12.717391304347826,46,10.847826086956522,14.76086956521739,-6.934782608695652,-10.347826086956522,-3.0869565217391304,BCa,combo,Point-Hint
Gemma-3-27B,60-80,16.63157894736842,38,12.473684210526315,21.55263157894737,-15.052631578947368,-20.42105263157895,-10.263157894736842,BCa,combo,Point-Hint
Gemma-3-27B,80-100,26.0,30,21.740650033119024,31.333333333333332,-26.0,-31.4,-21.7,BCa,combo,Point-Hint
Gemma-3-27B,0-20,6.7571811361200425,933,6.387973025132296,7.174109646400601,6.379367631296891,5.9817693207064995,6.823947910005349,BCa,combo,Short
Gemma-3-27B,20-40,6.944444444444445,108,5.842592592592593,8.305555555555555,-1.0185185185185186,-2.7087834028382773,0.8333333333333334,BCa,combo,Short
Gemma-3-27B,40-60,15.804347826086957,46,13.326086956521738,18.23913043478261,-10.847826086956522,-14.673913043478262,-6.314896450589439,BCa,combo,Short
Gemma-3-27B,60-80,18.473684210526315,38,13.68421052631579,23.789473684210527,-16.36842105263158,-22.236842105263158,-10.763157894736842,BCa,combo,Short
Gemma-3-27B,80-100,25.333333333333332,30,19.533333333333335,31.866666666666667,-25.333333333333332,-31.876943937742933,-19.466666666666665,BCa,combo,Short
Gemma-3-12B,0-20,9.905627009646302,933,9.374735934843345,10.470990593897481,9.655894962486602,9.091823578447716,10.228792701444222,BCa,combo,Grid-Overlay
Gemma-3-12B,20-40,10.592592592592593,108,9.175925925925926,12.42663612737966,5.444444444444445,3.1666666666666665,7.881958624317341,BCa,combo,Grid-Overlay
Gemma-3-12B,40-60,11.434782608695652,46,9.347826086956522,13.496598797474215,-4.217391304347826,-7.695652173913044,-0.47694105544376175,BCa,combo,Grid-Overlay
